gene.name ,group
Hid1,Low_binding
Sirpa,Low_binding
Prdm10,Low_binding
Msmo1,Low_binding
Aplp1,Low_binding
Fam214b,Low_binding
Dpp6,Low_binding
Heca,Low_binding
Gpr137,Low_binding
Gpr162,Low_binding
Eif4a2,Low_binding
Tmod2,Low_binding
Fam160b1,Low_binding
Sel1l3,Low_binding
Angel2,Low_binding
Gdi1,Low_binding
Dcbld2,Low_binding
Bbx,Low_binding
Herpud2,Low_binding
Nup160,Low_binding
Gpt2,Low_binding
Grm7,Low_binding
Efnb2,Low_binding
Gabarap,Low_binding
Stum,Low_binding
Syt11,Low_binding
Azi2,Low_binding
Zfp639,Low_binding
Acly,Low_binding
Abat,Low_binding
Zfp251,Low_binding
Psd2,Low_binding
Hspa12a,Low_binding
Akap1,Low_binding
Etaa1,Low_binding
Tom1l2,Low_binding
Atxn7,Low_binding
Hk1,Low_binding
Tiam2,Low_binding
Abce1,Low_binding
Sec24c,Low_binding
Spata7,Low_binding
Zfp942,Low_binding
Wdr81,Low_binding
Dhx15,Low_binding
2310022A10Rik,Low_binding
Sort1,Low_binding
Fam13b,Low_binding
Rnf111,Low_binding
Asphd2,Low_binding
Atp10b,Low_binding
Gne,Low_binding
Def8,Low_binding
Cnot4,Low_binding
Rnf139,Low_binding
Slc4a8,Low_binding
Strn,Low_binding
Cbx5,Low_binding
Cry2,Low_binding
Foxn2,Low_binding
Gab1,Low_binding
Atp11b,Low_binding
Tox4,Low_binding
Prpf39,Low_binding
Amot,Low_binding
Wdr45b,Low_binding
Plppr4,Low_binding
Fam171a2,Low_binding
Bmpr1b,Low_binding
Pcdhb20,Low_binding
Synm,Low_binding
Edem1,Low_binding
Tubgcp2,Low_binding
Etv5,Low_binding
Strip1,Low_binding
Tbc1d1,Low_binding
Tmem88b,Low_binding
Crim1,Low_binding
Kctd20,Low_binding
N4bp2l2,Low_binding
Acox1,Low_binding
Gas6,Low_binding
Cpne4,Low_binding
Map3k3,Low_binding
Nmt2,Low_binding
Adgra1,Low_binding
Rps12,Low_binding
Crat,Low_binding
Numa1,Low_binding
Fam222b,Low_binding
Rgs7,Low_binding
March7,Low_binding
Rpl30,Low_binding
Ppp6r3,Low_binding
Zmym5,Low_binding
Nktr,Low_binding
Epha5,Low_binding
Vps8,Low_binding
Ets2,Low_binding
Sirt2,Low_binding
Kdm3a,Low_binding
Ric1,Low_binding
Gys1,Low_binding
Fam73a,Low_binding
Mllt1,Low_binding
Cntn1,Low_binding
Papolg,Low_binding
Abca3,Low_binding
Npepps,Low_binding
Armcx5,Low_binding
Gba2,Low_binding
Kdelr2,Low_binding
Trmt1l,Low_binding
Mtcl1,Low_binding
Elk1,Low_binding
Add3,Low_binding
Rngtt,Low_binding
Mgat4a,Low_binding
Sparcl1,Low_binding
Evl,Low_binding
Akt2,Low_binding
Kcnk2,Low_binding
Cog7,Low_binding
Fbxo10,Low_binding
Grid1,Low_binding
Emc3,Low_binding
Ankra2,Low_binding
Yy1,Low_binding
Cblb,Low_binding
Plxdc2,Low_binding
Fkbp15,Low_binding
Sez6l,Low_binding
Egr1,Low_binding
Kpna4,Low_binding
Klhl11,Low_binding
Il1r1,Low_binding
Atg4c,Low_binding
Nckipsd,Low_binding
Frmd4b,Low_binding
Wasl,Low_binding
Lrrc55,Low_binding
Zfp35,Low_binding
Baz2a,Low_binding
Caln1,Low_binding
Gtf2ird1,Low_binding
Ube2v2,Low_binding
Megf8,Low_binding
Slc35f4,Low_binding
Mynn,Low_binding
Ptpn14,Low_binding
