gene.name ,group
Lrba,High_binding
Dcaf5,High_binding
Picalm,High_binding
Pde4dip,High_binding
4930402H24Rik,High_binding
Ubqln2,High_binding
Bzrap1,High_binding
Aqr,High_binding
Trerf1,High_binding
Setd2,High_binding
Strn4,High_binding
Actn4,High_binding
Gna12,High_binding
Ptprg,High_binding
Kidins220,High_binding
Socs5,High_binding
Map4k3,High_binding
Polr2a,High_binding
Senp6,High_binding
Elmo1,High_binding
Nufip2,High_binding
Setd7,High_binding
Ago3,High_binding
Sema6a,High_binding
Ugp2,High_binding
Pip4k2b,High_binding
Ppp2r5b,High_binding
Kat6b,High_binding
Rai1,High_binding
Myo10,High_binding
Fyn,High_binding
Zfp532,High_binding
Plekha3,High_binding
Ogfrl1,High_binding
Rif1,High_binding
Cask,High_binding
Ehmt2,High_binding
Rims3,High_binding
Fat4,High_binding
Sympk,High_binding
Vps35,High_binding
Arpp21,High_binding
Arfgef2,High_binding
Usp27x,High_binding
Prdm4,High_binding
Asxl3,High_binding
Fam208a,High_binding
Fam13c,High_binding
Hmbox1,High_binding
Synpo,High_binding
Tmem178b,High_binding
Cdc42bpb,High_binding
Csnk2a1,High_binding
Uso1,High_binding
Tbr1,High_binding
Prex1,High_binding
Uba1,High_binding
Nr4a3,High_binding
Rbm27,High_binding
Glul,High_binding
Phactr3,High_binding
Jund,High_binding
Pias2,High_binding
Gabrb3,High_binding
Rnf11,High_binding
Epb41,High_binding
Ppp4r4,High_binding
Tln1,High_binding
Fam160a2,High_binding
Sgk1,High_binding
Chd4,High_binding
Cul4b,High_binding
Cadps,High_binding
Xpot,High_binding
Fut9,High_binding
Nrsn1,High_binding
Nrxn3,High_binding
Akap9,High_binding
Mef2a,High_binding
Tmem94,High_binding
Rgl1,High_binding
Snrnp200,High_binding
Pxk,High_binding
Rabl6,High_binding
Slc39a10,High_binding
Bcl11a,High_binding
Mapk8ip3,High_binding
Ppp2r5e,High_binding
Flna,High_binding
Asic2,High_binding
Uba52,High_binding
Cenpb,High_binding
Map3k5,High_binding
Setd3,High_binding
Cab39l,High_binding
Dclk2,High_binding
Cacul1,High_binding
Ppp6r1,High_binding
Synj2,High_binding
Sema6d,High_binding
Cdkl4,High_binding
Brinp2,High_binding
Ubtd2,High_binding
Etl4,High_binding
Fam65a,High_binding
Srgap2,High_binding
Enc1,High_binding
Gsk3a,High_binding
Nrxn2,High_binding
Celf2,High_binding
Atp1a3,High_binding
Scaf11,High_binding
Lrrtm3,High_binding
Cep350,High_binding
Mark2,High_binding
Adcy8,High_binding
Zfp384,High_binding
Aebp2,High_binding
Magi3,High_binding
Lrrn2,High_binding
Whrn,High_binding
Agfg1,High_binding
Peg10,High_binding
Cdc73,High_binding
Fam102a,High_binding
Rab11fip2,High_binding
Zbtb33,High_binding
Mapk1,High_binding
Plk2,High_binding
Kat7,High_binding
Atp5b,High_binding
Rtn1,High_binding
Tpr,High_binding
Map4,High_binding
Ctxn1,High_binding
Fxr2,High_binding
Kif21a,High_binding
Arhgef28,High_binding
Fam120c,High_binding
Fzd3,High_binding
Cul9,High_binding
Ppfia3,High_binding
Car10,High_binding
D830031N03Rik,High_binding
6030419C18Rik,High_binding
Pgbd5,High_binding
Kcnq2,High_binding
Zfp523,High_binding
Ewsr1,High_binding
Ice1,High_binding
Magee1,High_binding
Vps54,High_binding
Daam2,High_binding
Arhgap23,High_binding
Zer1,High_binding
Srgap1,High_binding
Chst8,High_binding
Zfp638,High_binding
Diaph1,High_binding
Atp6v0a1,High_binding
Dpy19l1,High_binding
4931406P16Rik,High_binding
Atad2b,High_binding
